DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.011736	-0.012799	-0.010179	-0.008413	-0.014984	-0.01345	-0.009004
-0.011872	-0.016032	-0.008568	-0.010541	-0.002965	-0.00914	-0.008626
-0.011917	-0.005381	-0.010164	-0.00825	-0.011588	-0.013987	-0.011838
-0.012109	-0.01618	-0.013741	-0.011838	-0.009574	-0.010392	-0.01167
-0.012044	-0.009403	-0.011932	-0.008838	-0.011079	-0.013017	-0.014348
-0.012285	-0.008989	-0.009962	-0.012147	-0.009319	-0.009791	-0.013954
-0.012179	-0.005541	-0.009709	-0.011494	-0.011779	-0.008729	-0.010055
-0.012322	-0.01074	-0.014432	-0.012816	-0.010555	-0.01086	-0.009508
-0.011947	-0.011453	-0.012122	-0.00838	-0.012136	-0.007607	-0.012775
-0.011987	-0.011209	-0.007213	-0.012193	-0.013498	-0.014085	-0.009063
-0.012264	-0.01075	-0.011269	-0.010148	-0.0137	-0.008955	-0.012939
-0.012015	-0.016805	-0.009558	-0.0111	-0.006965	-0.007657	-0.013994
-0.012062	-0.011102	-0.010785	-0.0103	-0.016154	-0.010837	-0.00758
-0.012177	-0.011888	-0.008436	-0.013792	-0.012306	-0.009148	-0.012353
-0.012383	-0.006836	-0.012069	-0.009542	-0.008959	-0.013967	-0.013563
-0.012611	-0.00966	-0.01102	-0.007576	-0.009906	-0.010108	-0.006027
-0.012512	-0.012234	-0.007675	-0.00689	-0.01364	-0.00656	-0.011844
-0.01288	-0.008433	-0.012283	-0.01418	-0.00759	-0.01443	-0.013668
-0.012785	-0.008991	-0.010747	-0.009031	-0.005032	-0.007454	-0.00964
-0.012438	-0.008951	-0.008924	-0.008297	-0.010046	-0.01566	-0.012017
-0.012802	-0.014946	-0.010572	-0.011046	-0.009194	-0.011758	-0.014816
-0.012754	-0.010459	-0.007312	-0.014322	-0.011523	-0.009194	-0.007696
-0.012637	-0.010728	-0.012897	-0.008878	-0.007851	-0.010115	-0.011281
-0.012758	-0.016763	-0.010522	-0.008436	-0.016924	-0.014823	-0.013519
-0.013091	-0.012173	-0.015489	-0.011083	-0.013224	-0.012682	-0.011475
-0.012937	-0.006897	-0.01526	-0.012133	-0.008453	-0.013397	-0.008902
-0.012739	-0.010281	-0.009635	-0.012663	-0.011207	-0.008401	-0.010632
-0.013025	-0.016113	-0.013979	-0.009558	-0.008102	-0.012418	-0.009345
-0.012963	-0.005764	-0.008724	-0.011174	-0.016676	-0.012408	-0.012802
-0.012797	-0.01224	-0.01481	-0.010977	-0.012734	-0.012212	-0.01151
-0.012683	-0.011563	-0.013939	-0.01016	-0.008564	-0.010296	-0.006168
-0.012501	-0.01119	-0.008083	-0.009594	-0.012344	-0.006236	-0.005173
-0.012839	-0.00766	-0.008374	-0.012927	-0.01148	-0.009491	-0.017122
-0.012628	-0.011353	-0.010779	-0.012425	-0.011438	-0.00776	-0.013899
-0.012695	-0.012184	-0.012643	-0.013318	-0.007763	-0.011123	-0.008411
-0.013114	-0.011142	-0.007391	-0.0138	-0.015336	-0.009752	-0.013549
-0.012775	-0.011709	-0.009638	-0.011481	-0.010694	-0.005853	-0.009688
-0.01291	-0.010348	-0.008454	-0.009919	-0.006705	-0.013855	-0.009225
-0.0129	-0.013135	-0.009926	-0.018882	-0.010126	-0.009171	-0.014451
-0.012893	-0.006955	-0.014256	-0.012221	-0.010734	-0.011029	-0.0147
-0.012758	-0.009935	-0.00956	-0.010455	-0.012878	-0.010815	-0.005251
-0.012783	-0.007701	-0.010153	-0.012802	-0.009208	-0.008593	-0.010169
-0.012988	-0.014818	-0.016604	-0.014089	-0.015519	-0.013695	-0.011471
-0.012504	-0.00993	-0.009386	-0.010934	-0.011886	-0.013679	-0.010189
-0.012658	-0.013589	-0.010732	-0.010868	-0.010422	-0.012979	-0.016778
-0.012881	-0.009236	-0.0127	-0.011943	-0.00809	-0.010529	-0.014047
-0.012948	-0.012088	-0.01271	-0.013007	-0.010022	-0.008668	-0.010689
-0.012744	-0.012337	-0.010286	-0.008394	-0.011667	-0.014662	-0.00801
-0.012792	-0.006583	-0.00878	-0.014717	-0.008929	-0.012613	-0.010238
-0.012955	-0.00936	-0.012875	-0.012008	-0.009054	-0.007743	-0.011057
-0.012525	-0.006084	-0.011175	-0.007435	-0.009861	-0.009198	-0.016422
-0.012807	-0.011902	-0.009876	-0.010262	-0.011475	-0.00569	-0.012296
-0.012876	-0.007715	-0.012761	-0.015854	-0.010053	-0.013647	-0.009521
-0.012813	-0.011921	-0.010751	-0.01495	-0.007283	-0.012303	-0.010973
-0.012697	-0.013221	-0.011459	-0.008458	-0.012507	-0.009354	-0.010243
-0.012976	-0.012724	-0.011096	-0.009307	-0.013468	-0.010748	-0.009202
-0.013341	-0.007792	-0.013889	-0.012906	-0.012406	-0.006553	-0.013269
-0.013305	-0.012298	-0.009618	-0.011647	-0.012874	-0.01089	-0.010658
-0.012912	-0.012765	-0.010926	-0.011311	-0.006217	-0.011455	-0.010513
-0.013241	-0.010326	-0.008762	-0.009317	-0.013613	-0.010747	-0.005804
-0.013011	-0.009159	-0.009903	-0.012471	-0.00929	-0.014394	-0.013339
